label,notation
RBSN(T),RBSNt
RUCOOL - Collaborative Reasearch,RUCOOLColResGlider
Rutgers Center for Ocean Observing Leadership Glider Program,RUCOOLGlider
SAS-DB,SASDB
SAWS DB,SAWSDB
SBU-MB,SBUMB
SCALE glider program,SCALE
SHADOZ,SHADOZ
SIO-DB,SIODB
NorGliders - SIOS,SIOSGlider
SKIO Glider Program,SKIOGlider
Balearic Islands Observatory,SOCIBGlider
SOOP,SOOP
SOOP-BOM,SOOPBOM
SOOP-FVP-RECOPESCA,SOOPFPVRECOPESCA
SOOP-FVP-BDC,SOOPFVPBDC
SOOP-FVP-Catching Data,SOOPFVPCatchingData
SOOP-FVP-Vistools,SOOPFVPVistools
SOOP-IFREMER-TSG,SOOPIFREMERTSG
SOOP-IRD-TSG,SOOPIRDTSG
SOOP-IRD-XBT,SOOPIRDXBT
SOSCEx glider program,SOSCEX
Scripps Glider Program,ScrippsGlider
SPAIN-IEO-MB,SpainIEOMB
Stony Brook Glider Program,StonyBrookGlider
TAMDAR,TAMDAR
TAMU-MB,TAMUMB
TCCON,TCCON
Tallin University Glider Program,TTUGlider
UCSD-SCRIPPS,UCSDscripps
University of East Anglia Glider Program,UEAGlider
UK-MO DB,UKMODB
UK-MO LV,UKMOLV
UK-MO MB,UKMOMB
UK-MO FIXED,UKMOfixed
UK-JERSEY MB,UKjerseyMB
University of Massachussetts Dartmouth Glider Program,UMasGlider
UNH-MB,UNHMB
USACE,USACE
U.S. Antarctic Marine Living Resources Program,USAMLRPGlider
US-CG DB,USCGDB
US EPA Great Lakes National Program,USEPAGLGlider
University of South Florida Glider Program,USFGlider
USM Glider Program,USMGlider
Univ las Palmas glider program,UnivLasPalmasGlider
Virginia Institute of Marine Science Glider Program,VIMGlider
VOS-3P,VOS3P
VOS-AU,VOSAU
VOS-CA,VOSCA
VOS-CL,VOSCL
VOS-DE,VOSDE
VOS-DK,VOSDK
VOS-ES,VOSES
VOS-EU,VOSEU
VOS-FR,VOSFR
VOS-GB,VOSGB
VOS-GR,VOSGR
VOS-HK,VOSHK
VOS-IE,VOSIE
VOS-IL,VOSIL
VOS-IN,VOSIN
